"","ID","x","y","difConsumo"
"1",1,921630.212051839,8239889.84194494,317664
"2",2,921630.901691491,8239913.87032449,-4258813
"3",3,921630.987895804,8239916.87387197,4387662
"4",4,246129.999999741,7953497.99993634,-6311100
"5",5,246137.999999741,7953496.99993634,-14013394
"6",6,246372.999999745,7951467.99993628,20824159
"7",7,442609.000000113,7755797.99993018,10762654
"8",8,442617.000000113,7755797.99993018,-12986544
"9",9,442625.000000113,7755797.99993018,3411248
"10",10,442633.000000113,7755797.99993018,3876723
"11",11,442642.000000113,7755797.99993018,-15202709
"12",12,442651.000000113,7755797.99993018,1657194
"13",13,379877.00000025,7636905.99992698,3447201
"14",14,379862.00000025,7636910.99992698,1592774
"15",15,379843.00000025,7636913.99992698,1146688
"16",16,451358.000000086,7881519.99993365,2116030
"17",17,451353.000000086,7881519.99993365,707030
"18",18,451348.000000085,7881519.99993365,1350453
"19",19,401492.000000211,7628022.99992674,7853278
"20",20,401497.000000212,7628022.99992674,13925167
"21",21,401502.000000212,7628022.99992674,-9203640
"22",22,401508.000000212,7628022.99992674,-15607188
"23",23,401513.000000212,7628022.99992674,496782
"24",24,401520.000000212,7628022.99992674,-1982301
"25",25,401525.000000211,7628022.99992674,457053
"26",26,401531.000000212,7628022.99992674,2445767
"27",27,401538.000000212,7628022.99992674,2468351
"28",28,932042.643094944,8106572.12418314,-850422
"29",29,932049.652232599,8106571.90822548,4965484
"30",30,932055.66006549,8106571.72311887,2347492
"31",31,355498.00000027,7693817.99992852,847609
"32",32,355498.00000027,7693825.99992852,294753
"33",33,355498.00000027,7693833.99992852,-1487153
"34",35,961145.395694886,8205269.08926645,2994394
"35",36,961140.298805832,8205266.2303579,464359
"36",37,961135.260512708,8205265.37504786,-6875092
"37",38,337179.000000323,7556759.9999249,-1926181
"38",39,337176.000000323,7556753.9999249,4580173
"39",40,337174.000000324,7556746.9999249,7188980
"40",41,910363.037842215,7840447.38415462,832431
"41",42,910375.664000415,7840435.91930865,457628
"42",43,910389.256014652,7840423.41856582,144422
"43",44,910403.81388495,7840409.8819249,489507
"44",45,57592.3987407654,7955892.48739874,-255988
"45",46,57596.2050491206,7955898.62879781,1525050
"46",47,57600.9795479269,7955905.8048377,13847
"47",48,161434.041166092,7934505.75847008,-23774870
"48",49,161428.941669143,7934508.59018313,-31407241
